Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.hiv.json	204540	-	0	0	0	0	0	0	31	103	0	0	0	0	0	0	0	5	0	0	573	843	0	0	0	0	30	0	6
fsh-generated/resources/ActivityDefinition-HIVB9DTScheduleFollowUp.json	1518	6	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HIVGuidanceCommunicationRequestActivity.json	1402	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Client.json	709	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	7	38	0	0	0	1	1	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	976	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DataEntryClerk.json	754	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DistrictHealthInformationOfficer.json	772	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-KeyPopulations.json	1023	4	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-LabTechnician.json	747	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	1	0	1
fsh-generated/resources/ActorDefinition-Nurse.json	708	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Pharmacist.json	688	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Physician.json	812	4	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SpecialPopulationClient.json	771	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SpecialistMedicalDoctor.json	933	5	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrainedLayProvider.json	708	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrainedNonPhysicianClinician.json	1011	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVConcepts.json	361635	29	0	0	3	0	0	0	21	366	0	0	3	0	0	0	0	4	0	0	1240	2233	0	0	0	0	58	0	1
fsh-generated/resources/Condition-ExampleElevatedHivRiskCondition.json	639	4	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ExampleHivInvasiveCervicalCancerDiagnosis.json	859	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0
